Subject.No.,Version,order,image,Surface,Planar.Straight,Spherical.Straight,Size,pointDistance (radians),pointDistance (degrees),Line.Length,Pull,rotation (degrees),Response,rt
1,1,47,Plane_2_4_.jpg,plane,line,geo,3.174802104,1.15258907,66.039,3.659137373,0,0,1,0.618340015
1,1,48,Plane_2_1_2_.jpg,plane,line,arc,3.174802104,0.470542517,26.96,1.461194582,0,0,1,0.751886129
1,1,49,Sphere_0_2_5_1_.jpg,sphere,curve,arc,2,0.634294209,36.34241186,1.275550933,0.915187457,52.43642303,1,1.399291039
1,1,50,Sphere_1_4_.jpg,sphere,line,geo,2.5198421,1.15258907,66.039,2.904259258,0,0,1,1.918736935
1,1,51,Plane_0_5_.jpg,plane,line,geo,2,1.553697159,89.02,3.107305299,0,0,1,0.612656116
1,1,52,Plane_3_6_(Neg)3_.jpg,plane,line,arc,4,2.094393333,120,7.967341441,0,0,1,1.818630934
1,1,53,Sphere_2_1_2_1_.jpg,sphere,curve,arc,3.174802104,0.470542517,26.96012309,1.494455504,0.361083061,20.68855292,0,0.952975035
1,1,54,Plane_1_3_(Neg)3_1_.jpg,plane,curve,arc,2.5198421,0.855032498,48.98979486,2.161264061,0.560078708,32.09017327,1,1.930402994
1,1,55,gSphere_2_5_5_.jpg,sphere,curve,geo,3.174802104,1.553697159,89.02036507,4.9325397,0.619955179,35.52084523,0,0.869462013
1,1,56,Sphere_1_0_.jpg,sphere,line,geo,2.5198421,0.349065556,20,0.879564884,0,0,1,1.269336939
1,1,57,Plane_2_1_(Neg)2_1_.jpg,plane,curve,arc,3.174802104,0.470542517,26.96012309,1.494455504,0.361083061,20.68855292,0,1.034813166
1,1,58,Sphere_2_3_3_.jpg,sphere,line,arc,3.174802104,0.855032498,48.99,2.581632812,0,0,0,1.350606203
1,1,59,Sphere_0_0_(Neg)1_.jpg,sphere,line,arc,2,0.349065556,20,0.694287011,0,0,0,0.551119089
1,1,60,Plane_1_4_3_.jpg,plane,line,arc,2.5198421,1.15258907,66.039,2.762123007,0,0,1,0.686736107
1,1,61,Sphere_3_5_.jpg,sphere,line,geo,4,1.553697159,89.02,6.214610597,0,0,1,0.682329178
1,1,62,gSphere_2_2_(Neg)1_.jpg,sphere,curve,geo,3.174802104,0.634294209,36.34241186,2.0137009,0.107404275,6.153816826,1,1.934142113
1,1,63,Sphere_1_0_(Neg)3_0_.jpg,sphere,curve,arc,2.5198421,0.349065556,20,0.880034723,0.316636791,18.14196709,0,1.234788895
1,1,64,Plane_2_1_(Neg)1_.jpg,plane,line,arc,3.174802104,0.470542517,26.96,1.485653666,0,0,1,0.50148201
1,1,65,Plane_1_1_(Neg)5_.jpg,plane,line,arc,2.5198421,0.470542517,26.96,1.026819862,0,0,1,0.518216133
1,1,66,Sphere_0_4_(Neg)2_1_.jpg,sphere,curve,arc,2,1.15258907,66.03854498,2.310638,0.387774603,22.21786689,0,1.135723829
1,1,67,Sphere_1_6_(Neg)5_1_.jpg,sphere,curve,arc,2.5198421,2.094393333,120,5.520365118,1.213271442,69.51539174,1,1.45043397
1,1,68,Plane_0_0_2_.jpg,plane,line,arc,2,0.349065556,20,0.682856605,0,0,1,1.185577154
1,1,69,gPlane_0_3_(Neg)5_.jpg,plane,curve,geo,2,0.855032498,48.98979486,1.710016006,0.550779558,31.55737079,1,1.73379612
1,1,70,gPlane_2_3_1_.jpg,plane,curve,geo,3.174802104,0.855032498,48.98979486,2.714481207,0.109668837,6.283566828,0,1.1693151
1,1,71,Sphere_1_6_3_0_.jpg,sphere,curve,arc,2.5198421,2.094393333,120,5.357034439,0.422025022,24.18027302,1,0.968327999
1,1,72,Plane_1_3_.jpg,plane,line,geo,2.5198421,0.855032498,48.99,2.154485162,0,0,1,1.795527935
1,1,73,Sphere_2_1_5_.jpg,sphere,line,arc,3.174802104,0.470542517,26.96,1.293711959,0,0,0,1.368606091
1,1,74,gSphere_2_6_(Neg)3_.jpg,sphere,curve,geo,3.174802104,2.094393333,120,6.649093873,0.422025022,24.18027302,0,0.936455011
1,1,75,gSphere_0_0_3_.jpg,sphere,curve,geo,2,0.349065556,20,0.698111111,0.316636791,18.14196709,1,1.752378941
1,1,76,gSphere_3_2_(Neg)4_.jpg,sphere,curve,geo,4,0.634294209,36.34241186,2.537104152,0.430251051,24.65159019,0,1.802466154
1,1,77,Plane_0_4_.jpg,plane,line,geo,2,1.15258907,66.039,2.305112101,0,0,1,1.102775812
1,1,78,Sphere_1_2_(Neg)2_1_.jpg,sphere,curve,arc,2.5198421,0.634294209,36.34241186,1.599472619,0.365276531,20.92882126,0,1.202766895
1,1,79,gPlane_0_5_3_.jpg,plane,curve,geo,2,1.553697159,89.02036507,3.107305299,0.368501074,21.11357413,1,0.985530853
1,1,80,gPlane_2_5_(Neg)3_.jpg,plane,curve,geo,3.174802104,1.553697159,89.02036507,4.9325397,0.368501074,21.11357413,1,0.869692087
1,1,81,Plane_3_0_.jpg,plane,line,geo,4,0.349065556,20,1.396222222,0,0,1,1.002805948
1,1,82,gPlane_1_2_(Neg)5_.jpg,plane,curve,geo,2.5198421,0.634294209,36.34241186,1.598275464,0.538345563,30.84495473,0,1.803076029
1,1,83,gPlane_0_6_(Neg)1_.jpg,plane,curve,geo,2,2.094393333,120,4.188666667,0.139733553,8.0061496,1,2.085735083
1,1,84,Sphere_0_1_.jpg,sphere,line,geo,2,0.470542517,26.96,0.941058074,0,0,1,1.051178932
1,1,85,Plane_0_4_2_0_.jpg,plane,curve,arc,2,1.15258907,66.03854498,2.310638,0.228102707,13.06933347,1,5.650252104
1,1,86,Sphere_2_5_1_.jpg,sphere,line,arc,3.174802104,1.553697159,89.02,4.905520323,0,0,0,2.315155983
1,1,87,Plane_0_3_(Neg)1_0_.jpg,plane,curve,arc,2,0.855032498,48.98979486,1.7105796,0.109668837,6.283566828,0,1.202980995
1,1,88,Plane_0_6_3_.jpg,plane,line,arc,2,2.094393333,120,3.983670721,0,0,1,0.635854959
1,1,89,Sphere_1_1_(Neg)1_.jpg,sphere,line,arc,2.5198421,0.470542517,26.96,1.179164096,0,0,0,0.567162037
1,1,90,gPlane_0_2_(Neg)2_.jpg,plane,curve,geo,2,0.634294209,36.34241186,1.268552076,0.214868548,12.31107133,0,0.951253176
1,1,91,Sphere_2_0_.jpg,sphere,line,geo,3.174802104,0.349065556,20,1.108182312,0,0,1,0.733457804
1,1,92,gPlane_3_4_4_.jpg,plane,curve,geo,4,1.15258907,66.03854498,4.610224201,0.457956724,26.23900964,1,1.135388136
1,1,93,Plane_1_5_.jpg,plane,line,geo,2.5198421,1.553697159,89.02,3.914959354,0,0,1,1.015048981
1,1,94,Sphere_0_0_(Neg)2_.jpg,sphere,line,arc,2,0.349065556,20,0.682856605,0,0,0,0.718933821
1,1,95,Plane_1_3_4_.jpg,plane,line,arc,2.5198421,0.855032498,48.99,1.968230959,0,0,1,0.56926012
1,1,96,Plane_3_5_(Neg)3_.jpg,plane,line,arc,4,1.553697159,89.02,5.910463698,0,0,1,0.385720015
1,1,97,gPlane_0_2_(Neg)5_.jpg,plane,curve,geo,2,0.634294209,36.34241186,1.268552076,0.538345563,30.84495473,1,1.085783005
1,1,98,gPlane_3_0_3_.jpg,plane,curve,geo,4,0.349065556,20,1.396222222,0.316636791,18.14196709,1,1.452758789
