subject_no,version,order,image,surface,planar,spherical,line_length,response,reaction_time,size,separation,pull,spin,point_sep_rad,rotation_angle,height
2,2,140,Plane_1_2_.jpg,plane,line,geo,1.5983226021622894,correct,1.486969233,1,2,0,NA,0.634294745014242,0,0
2,2,142,Plane_1_4_.jpg,plane,line,geo,2.9043449143781483,correct,0.666998148,1,4,0,NA,1.1525900430905907,0,0
2,2,150,Plane_0_1_.jpg,plane,line,geo,0.9410858293948081,correct,1.154301882,0,1,0,NA,0.47054291469740406,0,0
2,2,161,Plane_3_0_.jpg,plane,line,geo,1.3962634015954638,correct,0.801707029,3,0,0,NA,0.34906585039886595,0,0
2,2,182,Plane_3_6_.jpg,plane,line,geo,8.37758040957278,correct,0.554033995,3,6,0,NA,2.094395102393195,0,0
2,2,184,Plane_0_3_.jpg,plane,line,geo,1.7100664402158188,correct,0.501322985,0,3,0,NA,0.8550332201079094,0,0
2,2,186,Plane_0_5_.jpg,plane,line,geo,3.107396943627315,correct,1.204403877,0,5,0,NA,1.5536984718136575,0,0
2,2,191,Plane_3_3_.jpg,plane,line,geo,3.4201328804316375,correct,0.80431509,3,3,0,NA,0.8550332201079094,0,0
2,2,210,Plane_2_1_.jpg,plane,line,geo,1.4938806355736838,correct,0.668725967,2,1,0,NA,0.47054291469740406,0,0
3,3,5,Plane_1_0_.jpg,plane,line,geo,0.8795908254339718,correct,2.73395896,1,0,0,NA,0.34906585039886595,0,0
3,3,6,Plane_1_3_.jpg,plane,line,geo,2.154548704746703,incorrect,5.066975117,1,3,0,NA,0.8550332201079094,0,0
3,3,9,Plane_2_6_.jpg,plane,line,geo,6.649289977552004,correct,4.949351072,2,6,0,NA,2.094395102393195,0,0
3,3,16,Plane_3_4_.jpg,plane,line,geo,4.610360172362363,correct,4.836305141,3,4,0,NA,1.1525900430905907,0,0
3,3,21,Plane_2_2_.jpg,plane,line,geo,2.013760290987017,correct,2.369612932,2,2,0,NA,0.634294745014242,0,0
3,3,23,Plane_1_4_.jpg,plane,line,geo,2.9043449143781483,correct,1.236166,1,4,0,NA,1.1525900430905907,0,0
3,3,38,Plane_0_2_.jpg,plane,line,geo,1.268589490028484,correct,1.135167122,0,2,0,NA,0.634294745014242,0,0
3,3,59,Plane_2_1_.jpg,plane,line,geo,1.4938806355736838,correct,0.665125847,2,1,0,NA,0.47054291469740406,0,0
3,3,66,Plane_0_1_.jpg,plane,line,geo,0.9410858293948081,correct,5.236343861,0,1,0,NA,0.47054291469740406,0,0
3,3,73,Plane_1_1_.jpg,plane,line,geo,1.1856938462122941,correct,1.118685007,1,1,0,NA,0.47054291469740406,0,0
3,3,76,Plane_2_0_.jpg,plane,line,geo,1.1082149962586678,correct,1.086091995,2,0,0,NA,0.34906585039886595,0,0
3,3,87,Plane_1_5_.jpg,plane,line,geo,3.9150748196550467,correct,0.669154882,1,5,0,NA,1.5536984718136575,0,0
3,3,102,Plane_2_5_.jpg,plane,line,geo,4.932685177196768,incorrect,0.768782139,2,5,0,NA,1.5536984718136575,0,0
3,3,124,Plane_3_5_.jpg,plane,line,geo,6.21479388725463,correct,2.402996063,3,5,0,NA,1.5536984718136575,0,0
3,3,126,Plane_0_4_.jpg,plane,line,geo,2.3051800861811813,correct,4.953224897,0,4,0,NA,1.1525900430905907,0,0
3,3,127,Plane_2_3_.jpg,plane,line,geo,2.7145612661341048,correct,2.703006029,2,3,0,NA,0.8550332201079094,0,0
3,3,132,Plane_2_4_.jpg,plane,line,geo,3.6592452937801516,correct,1.5812819,2,4,0,NA,1.1525900430905907,0,0
3,3,146,Plane_3_6_.jpg,plane,line,geo,8.37758040957278,correct,0.73445797,3,6,0,NA,2.094395102393195,0,0
3,3,149,Plane_3_2_.jpg,plane,line,geo,2.537178980056968,correct,0.384994984,3,2,0,NA,0.634294745014242,0,0
3,3,154,Plane_0_0_.jpg,plane,line,geo,0.6981317007977319,correct,1.247916937,0,0,0,NA,0.34906585039886595,0,0
3,3,166,Plane_0_3_.jpg,plane,line,geo,1.7100664402158188,correct,0.434708118,0,3,0,NA,0.8550332201079094,0,0
3,3,196,Plane_3_3_.jpg,plane,line,geo,3.4201328804316375,correct,1.5709989069999999,3,3,0,NA,0.8550332201079094,0,0
3,3,205,Plane_0_5_.jpg,plane,line,geo,3.107396943627315,correct,0.716705084,0,5,0,NA,1.5536984718136575,0,0
3,3,209,Plane_0_6_.jpg,plane,line,geo,4.18879020478639,correct,0.60434413,0,6,0,NA,2.094395102393195,0,0
3,3,211,Plane_3_1_.jpg,plane,line,geo,1.8821716587896162,correct,0.487724066,3,1,0,NA,0.47054291469740406,0,0
3,3,217,Plane_1_6_.jpg,plane,line,geo,5.2775449526038285,correct,0.820158958,1,6,0,NA,2.094395102393195,0,0
3,3,222,Plane_1_2_.jpg,plane,line,geo,1.5983226021622894,correct,0.934033155,1,2,0,NA,0.634294745014242,0,0
3,3,223,Plane_3_0_.jpg,plane,line,geo,1.3962634015954638,correct,0.637121201,3,0,0,NA,0.34906585039886595,0,0
4,4,1,Plane_1_4_.jpg,plane,line,geo,2.9043449143781483,correct,2.14628911,1,4,0,NA,1.1525900430905907,0,0
4,4,6,Plane_3_0_.jpg,plane,line,geo,1.3962634015954638,correct,1.399513006,3,0,0,NA,0.34906585039886595,0,0
4,4,12,Plane_0_4_.jpg,plane,line,geo,2.3051800861811813,correct,1.052889824,0,4,0,NA,1.1525900430905907,0,0
4,4,21,Plane_0_5_.jpg,plane,line,geo,3.107396943627315,correct,1.485762119,0,5,0,NA,1.5536984718136575,0,0
4,4,23,Plane_0_2_.jpg,plane,line,geo,1.268589490028484,correct,1.585820913,0,2,0,NA,0.634294745014242,0,0
4,4,30,Plane_0_6_.jpg,plane,line,geo,4.18879020478639,correct,2.686390162,0,6,0,NA,2.094395102393195,0,0
4,4,51,Plane_3_6_.jpg,plane,line,geo,8.37758040957278,correct,0.968605042,3,6,0,NA,2.094395102393195,0,0
4,4,52,Plane_2_3_.jpg,plane,line,geo,2.7145612661341048,correct,1.119221926,2,3,0,NA,0.8550332201079094,0,0
4,4,53,Plane_1_2_.jpg,plane,line,geo,1.5983226021622894,correct,1.186161995,1,2,0,NA,0.634294745014242,0,0
4,4,56,Plane_0_0_.jpg,plane,line,geo,0.6981317007977319,correct,0.750435114,0,0,0,NA,0.34906585039886595,0,0
4,4,68,Plane_3_1_.jpg,plane,line,geo,1.8821716587896162,correct,0.602360964,3,1,0,NA,0.47054291469740406,0,0
