subject_no,trial,image,surface,planar,spherical,response,reaction_time,correct_ans,given_ans,size,separation,pull,spin,point_sep_rad,rotation_angle,height,line_length,curvature
10,26,Plane_0_4_.jpg,plane,line,geo,correct,2.069638968,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
10,32,Plane_0_5_.jpg,plane,line,geo,correct,1.869588137,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
10,39,Plane_0_3_.jpg,plane,line,geo,correct,1.936367989,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
10,40,Plane_0_0_.jpg,plane,line,geo,correct,2.069606066,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
10,49,Plane_0_1_.jpg,plane,line,geo,correct,2.002898216,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
11,3,Plane_0_6_.jpg,plane,line,geo,correct,2.809056997,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
11,15,Plane_0_3_.jpg,plane,line,geo,correct,2.460180998,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
11,28,Plane_0_0_.jpg,plane,line,geo,correct,3.138550997,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
11,29,Plane_0_4_.jpg,plane,line,geo,correct,2.660109997,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
11,30,Plane_0_5_.jpg,plane,line,geo,correct,2.337862015,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
11,37,Plane_0_1_.jpg,plane,line,geo,correct,2.81019187,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
11,49,Plane_0_2_.jpg,plane,line,geo,correct,2.588219881,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
12,10,Plane_0_6_.jpg,plane,line,geo,correct,1.369506836,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
12,11,Plane_0_4_.jpg,plane,line,geo,correct,1.900493145,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
12,20,Plane_0_1_.jpg,plane,line,geo,correct,1.603309155,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
12,31,Plane_0_3_.jpg,plane,line,geo,correct,1.802943945,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
12,39,Plane_0_5_.jpg,plane,line,geo,correct,1.602544069,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
12,44,Plane_0_2_.jpg,plane,line,geo,correct,1.736263037,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
12,50,Plane_0_0_.jpg,plane,line,geo,correct,1.436085939,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
13,17,Plane_0_3_.jpg,plane,line,geo,correct,3.029501915,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
13,18,Plane_0_1_.jpg,plane,line,geo,correct,2.892843008,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
13,20,Plane_0_2_.jpg,plane,line,geo,correct,3.322646856,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
13,28,Plane_0_0_.jpg,plane,line,geo,correct,3.247318029,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
13,33,Plane_0_4_.jpg,plane,line,geo,correct,3.150318861,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
13,37,Plane_0_6_.jpg,plane,line,geo,correct,3.470170975,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
13,52,Plane_0_5_.jpg,plane,line,geo,correct,3.431166172,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
